ID,Organization Name,Contact Person,Email,Phone,Addr 1,Addr 2,City,State,Zip,URL,Internal Only,Database Versions Supported,Application Versions Supported,BAS Offshore Assignee,Active,Is Hosted,Note
1,"TriCore Solutions, LLC",,,617-786-9210,100 Newport Avenue Extension,,Quincy,MA,2171,www.tricoresolutions.com,FALSE,,,,1,No,"Directions TriCore Solutions, LLC (Oracle Partner of the Year in the East) Corporate Office: 1"
3,Ciner Resources Corporation,Sandeep Kudrimoti,SKudrimoti@OCIChemical.com,"770-261-0380 (W), 770-261-0398 (F)","1800 West Oak Commons Court, Suite 100",,Marietta,GA,30062,http://ocichemical.com,TRUE,,,mmishra,1,No,
4,EMS (Engineered Materials Solutions),,,(508)342-2438,39 Perry Avenue,PO Box 2410,Attleboro,MA,2703,http://emsclad.com,TRUE,,,ajbajpai,1,Fully,"Applications R12, SQL server, Hosted OS, Noetix"
6,International Power,,,(508) 382-9364,"62 Forest Street, Suite 102",,Marlborough,MA,1752,http://ipplc.com/,TRUE,,,,0,No,9i Database Gold Service Oracle RAC Oracle Standby
7,National Dentex Corp,,,(508) 358-4422,526 Boston Post Road,,Wayland,MA,1778,www.nationaldentex.com,TRUE,,,,0,No,Applications Gold Support Customer Oracle Portal Linux Support added 4/13/2009
8,TJX,,,,,,,,,http://tjmaxx.com/,TRUE,,,,0,No,
11,Network Health,Shani Gentry-Cincotti,Shani.Gentry-Cincotti@network-health.org,781.393.3562,101 Station Landing - 4th Floor,,Medford,MA,2155,www.network-health.org,TRUE,,,,0,No,
13,Alkermes Inc,Brenda Hourihan,Brenda.Hourihan@Alkermes.com,B:617-250-1648 C:617-512-3224,88 Sidney Street,,Cambridge,MA,2139,http://alkermes.com,TRUE,,,,0,No,Application 11i Gold Primary DBA Michael Long C:508-328-6637
14,Delta,,,(603)889-8899,80 Northwest Blvd.,P.O. Box 3000,Nashua,NH,03061-3000,http://delta-edu.com,TRUE,,,,0,No,Applications 11.0 and DB Gold
15,Aavid Thermalloy,,,(603) 224-9988,80 Commercial st.,,Concord,NH,3301,http://aavidthermalloy.com,TRUE,,,ajbajpai,1,No,North America - Visibility China - Applications 11.0 Italy - Applications 11.0
17,Ferrotec,Rob Blinn,rblinn@ferrotec.com,603-472-6430,33 Constitution Drive,,Bedford,NH,3110,www.ferrotec.com,TRUE,,,ajbajpai,1,No,
20,Orvis,,,802-362-1300,RT-7A,,Manchester,VT,5255,http://orvis.com,TRUE,,,,0,No,Applications 11i and Database Gold Service
21,Champion Exposition Services,,,508-946-8500,139 Campanelli Drive,,Middleboro,MA,2346,www.championexpo.com,TRUE,,,,0,No,
22,LoadSpring,,,(978) 685-9715,"15 Union Street, #401",,Lawrence,MA,1840,www.loadspring.com,TRUE,,,,0,No,Lights On DBA services
