@utoRevenue,5061187
1-800 Contacts,5061188
1366 Technologies,5061189
170 Systems Inc.,5061190
1800Flowers,5061191
1836 Realty,5061192
1st DataBank,5061193
2 The Tee Screen Printing,5061194
"21ct, Inc.",5061195
24 Hour Fitness Inc.,5061196
3 COM CORPORATION,5061197
3 Seventy Inc,5061198
38 Studios,5061199
3AM,5061200
3M Company,5061201
"3PAR, Inc.",5061202
3RP,5061203
3V Solutions,5067775
3V Solutions - Glaceau Corp,5067971
4dsp LLC,5061204
4DTechnology,5061205
7-Eleven,5061206
89 Degrees,5061207
99 Cents Only Stores LLC,5061208
A M CASTLE & CO. (Castle Metals),5061209
A. H. Belo Corporation,5061210
A.C. Moore Arts & Crafts,5061211
A.N. Deringer,5061212
A.T. Cross,5061213
A.T. Cross Company,5061214
A.T. Kearney,5061215
A.W. Chesterton,5061216
A&E Television Networks,5061217
A10 Networks,5061218
A123 Systems,5061219
"AAA Northern California, Nevada & Utah",5061220
AAA Southern New England,5061221
AAF - McQuay,5061222
AAFES / Army and Air Force Exchange Service,5061223
AAON,5061224
AAR Corp,5061225
Aarav Solutions,5061226
Aaron & Co,5061227
Aastra Technologies Limited,5061228
Aavid Thermalloy,5067776
Ab Initio,5061229
"AB Technology, Inc.",5061230
Abbott Laboratories,5061231
Abbott Medical Optics Inc,5061232
Abbvie Inc.,5061233
ABC Moving & Freight,5061234
ABC Warehouse,5061235
ABCO Refrigeration,5061236
Abercrombie & Fitch,5061237
Abercrombie & Fitch Co.,5061238
Abilene Christian,5061239
Abilene Christian University Inc,5061240
Abilene Independent School District,5061241
Abilene ISD,5061242
ABM Industries Inc.,5061243
Abound Solar,5061244
"ABS Group of Companies, Inc.",5061245
Abt Associates,5061246
AC Nielsen,5061247
Acadaca,5061248
Acadamy of Art University,5061249
Academy Sports & Outdoors,5061250
Acambis,5061251
Acceleron Pharma,5061252
Accelrys,5061253
AccentCare,5061254
"Access Group, Inc.",5061255
Access Insurance Company,5061256
Access Medicare,5061257
Accessible Compliance,5061258
Accesso,5061259
Accident Fund Insurance Company of America,5061260
Acco Brands,5061261
Accor North America Inc.,5061262
Accretive Health,5061263
Accruent,5061264
Accu-Sort Systems,5061265
Accu-Time Systems (ATS),5061266
Accuray Incorporated,5061267
Accuride International,5061268
ACE Hardware,5061269
Ace Parking Management Inc,5061270
Acelity,5061271
Aceto,5061272
ACGI,5061273
ACHN,5061274
Aci Worldwide,5061275
ACIS,5061276
Acme Brick,5061277
"Acme Packet, Inc.",5061278
ACMI Corporation,5061279
Acorda,5061280
"Acorda Therapeutics, Inc.",5061281
Acorda Therapuetics,5061282
Acosta,5061283
Acquilex (HydroChem Industrial Services),5061284
Acrison,5061285
ACS Systech,5061286
ACSI,5061287
ACT Electronics,5061288
ACT Manufacturing,5061289
Actelion Pharmaceuticals,5061290
Actifio,5061291
Active Network,5061292
Activision Blizzard,5061293
Activision BlizzardInc. (formerly Activision),5061294
Acton Associates,5061295
Actuant,5061296
Acuity Healthcare,5061297
Acuity Mutual Insurance Company,5061298
Acumetrics,5061299
Acurian Health,5061300
Acushnet,5061301
Acxiom,5061302
Adams 14,5061303
Adams Resources & Energy,5061304
Adcole Corporation,5061305
Addmore Group,5061306
Adesa,5061307
ADHESIVES RESEARCH INC,5061308
"Adlucent, LLC",5061309
Admiral Packaging,5061310
Adobe,5061311
ADS Inc.,5061312
ADT,5061313
"ADTRAN, Inc.",5061314
Advance Check-In,5061315
Advance Food Service,5061316
Advanced Auto Parts,5061317
Advanced Call Center Technologies,5061318
Advanced Clinical Research Services,5061319
Advanced Instruments,5061320
Advanced Micro Devices,5061321
Advanced MP Technology,5061322
Advanced Steel Recovery,5061323
Advancial Federal Credit Union,5061324
Advanstar Communications Inc,5061325
Advanta Corporation,5061326
Advantec,5061327
Advent Software,5061328
Adventis Health System,5061329
Advocare,5061330
"Advocare International, LP",5061331
Advoqt,5061332
Aecom,5061333
Aegerion Pharmaceuticals Inc,5061334
AEM Holdings,5061335
Aeris Communications,5067777
Aerogroup International Inc,5061336
Aerojet,5061337
Aeropostale,5061338
Aerostar Airport Holdings,5061339
Aerovironment Inc,5061340
Aeroxchange,5061341
"Aetna Health of California, Inc.",5061342
